티커,현재가,RSI,MFI,CCI,"추정수급(5일,만주)",거래량비율(5일평균대비),당일거래대금(억),이평선추세,MACD에너지,ADX(추세강도),종합점수
010140,29350,49.56,35.93,69.56,272.2,68.94,918.25,하락/역배열,골든크로스(0이하),26.04,49.04
035600,10120,50.98,46.66,21.2,18.3,35.84,3.11,하락/역배열,골든크로스(0이하),37.64,49.02
307950,693000,44.32,64.48,-22.04,-5.3,19.61,192.45,하락/역배열,하락추세,14.16,48.9
009540,438500,49.49,29.01,100.84,57.6,17.24,239.79,하락/역배열,골든크로스(0이하),10.07,48.76
047810,158900,45.84,51.31,26.54,123.4,52.32,453.65,하락/역배열,골든크로스(0이하),18.41,48.74
041190,5820,48.52,56.33,-4.0,291.7,23.61,8.02,하락/역배열,골든크로스(0이하),39.79,48.72
043260,40550,48.33,64.54,-35.95,395.8,21.5,333.13,하락/역배열,하락추세,68.24,48.71
012330,634000,43.22,65.01,-17.04,240.7,25.61,870.69,하락/역배열,하락추세,19.51,48.68
036200,11620,47.05,43.43,54.67,116.5,27.56,19.06,정배열,상승(0이상),67.41,48.62
060720,12420,46.53,43.95,55.0,101.3,34.44,10.05,하락/역배열,골든크로스(0이하),16.38,48.59
